MinifigNumber,MinifigName,MinifigCategory,OwnedInSets,OwnedLoose,Notes,Value new (USD),Value used (USD)
"col213","Monster Scientist, Series 14 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Series 14 Minifigures",1,0,"",3.5900,1.9500
"col214","Wacky Witch, Series 14 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Series 14 Minifigures",1,0,"",5.1400,3.9600
"col215","Plant Monster, Series 14 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Series 14 Minifigures",1,0,"",3.9500,2.6800
"col216","Fly Monster, Series 14 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Series 14 Minifigures",1,0,"",4.1900,2.7700
"col217","Specter, Series 14 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Series 14 Minifigures",1,1,"",5.9300,3.6700
"col218","Zombie Cheerleader, Series 14 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Series 14 Minifigures",1,0,"",5.4800,3.8300
"col219","Tiger Woman, Series 14 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Series 14 Minifigures",1,0,"",5.3900,3.5200
"col220","Gargoyle, Series 14 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Series 14 Minifigures",1,0,"",7.2800,4.1100
"col221","Skeleton Guy, Series 14 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Series 14 Minifigures",1,0,"",4.7900,2.8200
"col222","Monster Rocker, Series 14 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Series 14 Minifigures",1,0,"",3.3800,2.1300
"col223","Zombie Businessman, Series 14 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Series 14 Minifigures",1,0,"",5.0100,3.5000
"col224","Banshee, Series 14 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Series 14 Minifigures",1,0,"",5.7200,3.4000
"col225","Square Foot, Series 14 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Series 14 Minifigures",1,0,"",6.2100,2.9100
"col226","Spider Lady, Series 14 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Series 14 Minifigures",1,0,"",5.7900,3.5300
"col334","War Machine - Black and Silver Armor with Backpack","Collectible Minifigures / Super Heroes / Avengers Infinity War",1,0,"",37.9300,32.5300
"col335","Wong","Collectible Minifigures / Super Heroes / Avengers Infinity War",1,0,"",23.9500,29.2200
"col336","Tony Stark - Hoodie, Silver Camo","Collectible Minifigures / Super Heroes / Avengers Infinity War",1,0,"",24.9100,22.1700
"col337","Bucky Barnes / White Wolf","Collectible Minifigures / Super Heroes / Avengers Infinity War",1,0,"",22.8000,22.6100
"col413","Brown Astronaut, Series 24 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Series 24 Minifigures",1,0,"",6.9300,6.1000
"col414","Spacebaby, Series 24 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Series 24 Minifigures",1,0,"",5.4100,10.6100
"coltlbm01","Lobster Lovin' Batman, The LEGO Batman Movie, Series 1 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 1",1,0,"",4.4300,2.5400
"coltlbm02","Glam Metal Batman, The LEGO Batman Movie, Series 1 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 1",1,0,"",4.5800,3.1400
"coltlbm03","Fairy Batman, The LEGO Batman Movie, Series 1 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 1",1,0,"",5.1600,3.0300
"coltlbm04","Clan of the Cave Batman, The LEGO Batman Movie, Series 1 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 1",1,0,"",3.4400,2.3100
"coltlbm05","Vacation Batman, The LEGO Batman Movie, Series 1 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 1",1,0,"",4.1400,2.4200
"coltlbm06","Barbara Gordon, The LEGO Batman Movie, Series 1 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 1",1,0,"",3.0200,1.6400
"coltlbm07","Commissioner Gordon, The LEGO Batman Movie, Series 1 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 1",1,0,"",4.4300,2.4600
"coltlbm08","Arkham Asylum Joker, The LEGO Batman Movie, Series 1 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 1",1,0,"",4.7400,2.8300
"coltlbm10","Pink Power Batgirl, The LEGO Batman Movie, Series 1 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 1",1,0,"",3.3100,2.3200
"coltlbm11","Red Hood, The LEGO Batman Movie, Series 1 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 1",1,0,"",4.6700,2.5000
"coltlbm13","Nurse Harley Quinn, The LEGO Batman Movie, Series 1 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 1",1,0,"",5.3400,3.8900
"coltlbm14","Orca, The LEGO Batman Movie, Series 1 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 1",1,0,"",4.8500,3.1200
"coltlbm16","Catman, The LEGO Batman Movie, Series 1 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 1",1,0,"",4.7700,2.4400
"coltlbm17","March Harriet, The LEGO Batman Movie, Series 1 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 1",1,0,"",3.3400,2.2500
"coltlbm21","Dollar Bill Tuxedo Batman","Collectible Minifigures / Super Heroes / The LEGO Batman Movie",1,0,"",9.2000,8.6600
"coltlbm22","Easter Bunny Batman","Collectible Minifigures / Super Heroes / The LEGO Batman Movie",1,0,"",13.0000,10.0900
"coltlbm23","Wizbat","Collectible Minifigures / Super Heroes / The LEGO Batman Movie",1,0,"",9.7700,7.7100
"coltlbm24","Baturion","Collectible Minifigures / Super Heroes / The LEGO Batman Movie",1,0,"",27.6900,19.5600
"coltlbm25","Disco Harley Quinn, The LEGO Batman Movie, Series 2 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 2",1,0,"",6.2800,4.3500
"coltlbm26","Disco Alfred Pennyworth, The LEGO Batman Movie, Series 2 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 2",1,0,"",3.8300,3.1500
"coltlbm28","Hugo Strange, The LEGO Batman Movie, Series 2 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 2",1,0,"",5.2800,4.3200
"coltlbm29","Mermaid Batman, The LEGO Batman Movie, Series 2 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 2",1,0,"",4.8500,2.5700
"coltlbm30","Swimsuit Batman, The LEGO Batman Movie, Series 2 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 2",1,0,"",11.3300,5.6800
"coltlbm31","Vacation The Joker, The LEGO Batman Movie, Series 2 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 2",1,0,"",5.0800,3.4500
"coltlbm33","Vacation Batgirl, The LEGO Batman Movie, Series 2 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 2",1,0,"",3.5000,2.3200
"coltlbm35","Bat-Merch Batgirl, The LEGO Batman Movie, Series 2 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 2",1,0,"",3.8100,2.6900
"coltlbm39","Apache Chief, The LEGO Batman Movie, Series 2 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 2",1,0,"",4.4900,3.0900
"coltlbm44","Black Vulcan, The LEGO Batman Movie, Series 2 (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Super Heroes / The LEGO Batman Movie / The LEGO Batman Movie Series 2",1,0,"",4.0800,2.7600
"cty0055","Fire - Reflective Stripes, Black Legs, White Fire Helmet, Brown Beard Rounded","Town / City / Fire",0,1,"",1.7800,0.9500
"cty0463","Police - Jail Prisoner 86753 Prison Stripes, Dark Bluish Gray Knit Cap, Backpack, Crooked Smile and Scar","Town / City / Police",2,0,"",1.9400,0.9800
"cty0465","Police - City Officer, Gold Badge, Dark Blue Cap with Hole, Sunglasses","Town / City / Police",1,0,"",1.7800,1.1600
"cty0472","Medium Blue Female Shirt with Two Buttons and Shell Pendant, Light Bluish Gray Legs, Black Bob Cut Hair","Town / City",1,0,"",2.3700,1.6600
"cty0473","Orange Jacket with Hood over Light Blue Sweater, Blue Legs, Dark Orange Short Tousled Hair, Crooked Smile with Black Dimple","Town / City",1,0,"",2.3600,1.7200
"cty0483","Construction Worker - Orange Zipper, Safety Stripes, Orange Arms, Orange Legs, Red Construction Helmet, Beard and Safety Goggles","Town / City / Construction",1,0,"",3.0200,1.0700
"cty0488","Police - City Officer, Life Jacket","Town / City / Police",2,0,"",1.8000,1.0300
"cty0522","Swamp Police - Crook Male with Dark Bluish Gray Knit Cap and Backpack","Town / City / Police",1,0,"",1.4700,0.9600
"cty0523","Swamp Police - Officer, Shirt, Dark Tan Cap","Town / City / Police",1,0,"",2.0000,1.2000
"cty0535","Swamp Police - Helicopter Pilot, Dark Blue Flight Suit with Badge, Helmet, Plain Hips and Legs","Town / City / Police",2,0,"",1.4500,0.8200
"cty0549","Construction Worker - Male, Orange Safety Jacket, Reflective Stripe, Sand Blue Hoodie, Orange Legs, Red Construction Helmet, Thin Grin with Teeth","Town / City / Construction",1,0,"",1.9900,1.1200
"cty0557","Space Engineer, Male, Orange Vest, Dark Blue Legs, White Construction Helmet, Stubble","Town / City / Space Port",1,0,"",1.6500,1.1900
"cty0561","Astronaut, Male with Side Lamp","Town / City / Space Port",1,0,"",2.8500,2.2700
"cty0562","Astronaut with Cap","Town / City / Space Port",1,0,"",1.7300,1.1800
"cty0563","Space Scientist","Town / City / Space Port",1,0,"",2.8100,1.6900
"cty0567","Utility Shuttle Astronaut - Female","Town / City / Space Port",1,0,"",1.9400,1.6300
"cty0568","Utility Shuttle Astronaut - Male","Town / City / Space Port",1,0,"",1.9000,1.5100
"dim005","Wicked Witch","Dimensions / The Wizard of Oz",1,0,"",13.0700,8.4400
"dim015","Doc Brown - Long Hair","Dimensions / Back to the Future",0,1,"",22.8500,16.3500
"div017b","Divers - Red Diver 1, Red Legs with Black Hips, Red Helmet, Light Gray Scuba Tank, Flippers","Town / Divers",1,0,"",3.7900,1.5900
"gb001","Dr. Egon Spengler - Plain Arms, Proton Pack","LEGO Ideas / General",1,0,"",16.2900,15.7600
"gb002","Dr. Peter Venkman - Plain Arms, Proton Pack","LEGO Ideas / General",1,0,"",15.1800,13.2700
"gb003","Dr. Raymond (Ray) Stantz - Plain Arms, Proton Pack","LEGO Ideas / General",1,0,"",13.6400,13.2900
"gb004","Dr. Winston Zeddemore - Plain Arms, Proton Pack","LEGO Ideas / General",1,0,"",14.1800,11.5500
"gb015","Abby Yates - Proton Pack","Ghostbusters / General",1,0,"",11.9900,5.8800
"gb016","Erin Gilbert - Proton Pack","Ghostbusters / General",1,0,"",8.2400,6.0800
"gb017","Jillian Holtzmann - Proton Pack","Ghostbusters / General",1,0,"",19.1200,10.5600
"gb018","Patty Tolan - Proton Pack","Ghostbusters / General",1,0,"",18.0000,9.0200
"gb019","Kevin Beckman","Ghostbusters / General",1,0,"",9.3400,4.5700
"gb020","Mayhem","Ghostbusters / General",1,0,"",17.4000,10.8400
"hfw001","Aloy","Horizon / General",1,0,"",22.0300,20.3400
"hfw002","Watcher","Horizon / General",1,0,"",4.4700,
"hp087","Harry Potter - Dark Blue Open Jacket with Stripe, Black Legs","Harry Potter / Half-Blood Prince",1,0,"",5.5100,2.0700
"hp098","Lord Voldemort - White Head, Black Cape, Dark Green Robe Lines","Harry Potter / General",0,1,"",9.9900,4.0500
"hp105","Dobby (Elf) - Light Nougat","Harry Potter / Chamber of Secrets",0,1,"",13.5300,4.3400
"hp125","Harry Potter - Yule Ball Vest and Bow Tie","Harry Potter / Goblet of Fire",0,1,"",4.0900,2.2200
"hp127","Stan Shunpike - Knight Bus Conductor Uniform","Harry Potter / Prisoner of Azkaban",1,0,"",9.3700,5.2600
"hp128","Ernie Prang","Harry Potter / Prisoner of Azkaban",1,0,"",6.2400,3.6300
"hp133","Harry Potter, Black Long Coat and Vest, Dark Red Shirt and Tie","Harry Potter / General",0,1,"",19.9800,3.9600
"hs009","Jack Davids - White Hoodie with Cap and Hood (Lopsided Smile / Scared)","Hidden Side / General",1,0,"",1.7900,1.3400
"hs040","Dwayne - Possessed","Hidden Side / General",1,0,"",2.9600,2.2400
"idea001","Marty McFly","LEGO Ideas / General",1,1,"",17.3200,12.8300
"idea002","Doc Brown - Short Hair","LEGO Ideas / General",1,0,"",25.8700,15.6000
"idea007","Classic Space - Green with Air Tanks and Motorcycle (Standard) Helmet with Visor (Pete)","LEGO Ideas / General",1,0,"",16.8600,16.5900
"idea008","Classic Space - Green with Air Tanks and Motorcycle (Standard) Helmet with Visor (Yve)","LEGO Ideas / General",1,0,"",21.7900,18.8800
"idea012","Hayabusa Project Manager - J. Kawaguchi","LEGO Ideas / General",1,0,"",9.4300,6.1200
"idea122","Ray the Castaway","LEGO Ideas / General",1,0,"",3.8500,
"jw001","ACU Trooper - Cap, Male, Medium Nougat Head","Jurassic World / General",1,0,"",7.9500,2.7900
"jw002","Gray","Jurassic World / General",1,0,"",4.4900,2.5600
"jw003","Simon Masrani","Jurassic World / General",0,1,"",5.2000,2.4800
"jw005","Barry","Jurassic World / General",0,1,"",16.5500,9.5700
"jw006","Vet - Bowl Haircut","Jurassic World / General",0,1,"",5.3600,2.2600
"jw011","Owen Grady - Leather Vest","Jurassic World / General",0,1,"",5.1700,2.6300
"jw012","Claire (Claire Dearing - Tied Shirt, Lavender Undershirt)","Jurassic World / General",0,1,"",7.0600,4.1800
"jw015","Dr. Wu - White Lab Coat","Jurassic World / General",1,0,"",6.1900,4.6900
"jw096","Alan Grant - Shirt with Water Stains","Jurassic World / Jurassic Park",1,0,"",8.2800,6.8000
"jw097","Ian Malcolm - Closed Shirt with Water Stains","Jurassic World / Jurassic Park",1,0,"",11.4300,6.9400
"jw098","Lex Murphy - Dirt Stains","Jurassic World / Jurassic Park",1,0,"",6.6600,7.3500
"jw099","Tim Murphy - Dirt Stains","Jurassic World / Jurassic Park",1,0,"",6.7400,7.3500
"loc100","Worriz - Fire Chi","LEGENDS OF CHIMA / General",1,0,"",2.1900,1.2900
"loc105","Frax - Armor","LEGENDS OF CHIMA / General",1,0,"",4.0300,2.0300
"nex012","Crust Smasher - Bare Chest, Red Legs, Black Shoulder Pads Armor","NEXO KNIGHTS / General",1,0,"",3.8900,2.1700
"nex019","Royal Soldier / Guard","NEXO KNIGHTS / General",1,0,"",2.3100,1.3600
"nex036","Robin Underwood - Hair, Blue Short Legs","NEXO KNIGHTS / General",1,0,"",1.5200,1.3200
"njo117","Kai (Tournament Robe) - Tournament of Elements","NINJAGO / Tournament of Elements",2,0,"",3.3500,1.4300
"ovr005","Overalls Red with Pocket, Red Legs, Red Construction Helmet","Town / Classic Town",1,0,"",1.7000,1.1400
"ovr010","Overalls Red with Pocket, Red Legs, Black Male Hair","Town / Classic Town",1,0,"",5.6400,1.4600
"pi008","Pirate Blue Jacket, Light Gray Legs, Brown Pirate Triangle Hat","Pirates / Pirates I",1,0,"",8.5900,2.5700
"pi009","Pirate Blue Jacket, White Legs, Brown Pirate Triangle Hat","Pirates / Pirates I",0,1,"",4.1000,2.6300
"pi018","Pirate Blue / White Stripes Shirt, Blue Legs, Black Pirate Triangle Hat","Pirates / Pirates I",1,0,"",5.0500,2.9100
"pi025","Pirate Red / Black Stripes Shirt, Black Legs, Black Pirate Triangle Hat","Pirates / Pirates I",1,1,"",3.9900,2.9700
"pi027","Pirate Red / Black Stripes Shirt, Black Legs, Blue Bandana","Pirates / Pirates I",1,0,"",5.0400,2.7200
"pi038","Pirate Red / White Stripes Shirt, Black Leg with Peg Leg, Black Pirate Triangle Hat","Pirates / Pirates I",1,0,"",4.6400,2.8300
"pi039","Pirate Red / White Stripes Shirt, White Legs, Black Pirate Triangle Hat","Pirates / Pirates I",1,0,"",7.7200,2.8900
"pi044","Pirate Red / White Stripes Shirt, Light Gray Legs, Red Bandana","Pirates / Pirates I",1,0,"",5.6500,2.5400
"pi054","Pirate Brown Vest Ascot, Blue Legs, Brown Pirate Triangle Hat","Pirates / Pirates I",1,0,"",39.3400,36.3400
"pi062","Imperial Guard with Blue Epaulettes and Brown Backpack Non-Opening","Pirates / Pirates I / Imperial Guards",3,0,"",10.1700,7.2200
"pi065","Imperial Guard - Officer","Pirates / Pirates I / Imperial Guards",2,0,"",8.0000,5.5700
"pi074","Imperial Guard - Admiral with White Plume Triple","Pirates / Pirates I / Imperial Guards",1,0,"",60.1000,34.4300
"pi079","Islander, Male with Quiver","Pirates / Pirates I / Islanders",1,0,"",27.6000,7.4600
"pi178","Pirate Medium Blue and White Stripes, Black Legs","Pirates / Pirates III",1,0,"",14.5300,10.8600
"poc002","Elizabeth Swann Turner","Pirates of the Caribbean / General",1,0,"",15.6300,10.3000
"poc003","Skeleton Barbossa","Pirates of the Caribbean / General",1,0,"",12.7300,5.2800
"poc004","Hector Barbossa","Pirates of the Caribbean / General",1,0,"",17.6600,13.3400
"poc012","Captain Jack Sparrow Skeleton","Pirates of the Caribbean / General",1,0,"",7.4200,4.5600
"sc001","LaFerrari Driver","SPEED CHAMPIONS / General",1,0,"",7.4900,2.0400
"scd003","Shaggy Rogers - Open Mouth Grin","Scooby-Doo / General",1,0,"",6.1900,4.3900
"scd004","Daphne Blake","Scooby-Doo / General",0,1,"",29.6200,22.9600
"scd005","Velma Dinkley","Scooby-Doo / General",0,1,"",109.8400,79.8700
"scd008","Fred Jones","Scooby-Doo / General",1,0,"",26.6200,16.8400
"scd009","Zombie / Zeke","Scooby-Doo / General",1,0,"",6.5000,4.2500
"sh003","Superman","Super Heroes / Superman",0,1,"",11.4400,4.3500
"sh005","The Joker - Lime Vest","Super Heroes / Batman II",2,1,"",5.6600,2.4800
"sh007","Two-Face, Orange and Purple Suit","Super Heroes / Batman II",0,1,"",22.3900,12.4700
"sh013","Hulk with Black Hair and Dark Tan Pants","Super Heroes / The Avengers",1,0,"",24.3600,15.8500
"sh014","Captain America - Dark Blue Suit","Super Heroes / The Avengers",1,0,"",11.1700,3.4800
"sh015","Iron Man Mark 6 Armor","Super Heroes / The Avengers",1,0,"",21.1900,10.2700
"sh016a","Batman - Black Suit with Yellow Belt and Crest (Type 2 Cowl)","Super Heroes / Batman II",1,0,"",4.5700,2.1000
"sh017","Wolverine","Super Heroes / X-Men",1,0,"",27.3000,13.4600
"sh018","Thor - Beard","Super Heroes / The Avengers",2,0,"",7.9300,3.4300
"sh024","Harley Quinn - Black and Red Hands","Super Heroes / Batman II",0,1,"",9.6000,6.1800
"sh029","Chitauri General","Super Heroes / The Avengers",1,2,"",3.6000,1.8500
"sh030","Chitauri Foot Soldier","Super Heroes / The Avengers",2,2,"",4.1900,1.9800
"sh031","Magneto - Red Outfit","Super Heroes / X-Men",1,0,"",18.4800,10.3600
"sh032","Deadpool","Super Heroes / X-Men",1,0,"",39.8000,30.4500
"sh033","Loki - Traditional Starched Fabric Cape","Super Heroes / The Avengers",2,0,"",17.3400,7.9100
"sh033a","Loki - Shiny Starched Fabric Cape","Super Heroes / Iron Man",1,0,"",17.9100,9.7900
"sh034","Hawkeye","Super Heroes / The Avengers",2,0,"",7.5000,3.0000
"sh035","Black Widow - Black Jumpsuit, Dark Orange Mid-Length Hair, Printed Legs, Black Hands","Super Heroes / The Avengers",1,0,"",16.6800,8.8100
"sh036","Iron Man Mark 7 Armor - Foot Repulsors","Super Heroes / The Avengers",1,0,"",30.1800,17.8200
"sh037","Hulk","Super Heroes / Avengers",1,0,"",26.0100,16.9500
"sh038","Spider-Man - Black Web Pattern","Super Heroes / Ultimate Spider-Man",3,0,"",3.7500,1.5900
"sh046","Batman - Electro Suit","Super Heroes / Batman II",0,1,"",6.4300,3.4200
"sh047","Batman, Arctic Batman","Super Heroes / Batman II",0,1,"",13.3800,4.6000
"sh049","Mr. Freeze, Medium Blue","Super Heroes / Batman II",0,1,"",7.4200,3.2600
"sh050","Aquaman","Super Heroes / Batman II",0,1,"",5.9100,2.5700
"sh062","Bane - 1 Light Nougat Hand","Super Heroes / The Dark Knight Trilogy",1,0,"",26.6100,11.5100
"sh063","Commissioner James Gordon","Super Heroes / The Dark Knight Trilogy",1,0,"",13.1600,7.2100
"sh064","Batman - Dark Bluish Gray Suit with Copper Belt","Super Heroes / The Dark Knight Trilogy",1,0,"",15.2700,7.5400
"sh068","Pepper Potts - White Suit","Super Heroes / Iron Man 3",1,0,"",16.9400,8.4500
"sh069","Tony Stark - Black and Dark Bluish Gray Jumpsuit","Super Heroes / Iron Man 3",1,0,"",21.0000,10.4000
"sh070","The Mandarin (Trevor Slattery) - Dark Green Cape","Super Heroes / Iron Man 3",1,0,"",10.9700,5.6100
"sh071","Extremis Soldier","Super Heroes / Iron Man 3",1,0,"",4.8500,2.6500
"sh072a","Iron Man Mark 42 Armor (Plain White Head)","Super Heroes / Iron Man 3",1,0,"",17.7800,8.9600
"sh078","General Zod","Super Heroes / Man of Steel",0,1,"",5.3500,2.0300
"sh083","Clark Kent / Superman","Super Heroes / Superman",0,1,"",25.3700,13.9900
"sh084","Iron Patriot","Super Heroes / Iron Man 3",1,0,"",74.4800,51.4000
"sh086","Man-Bat","Super Heroes / Batman II",1,0,"",4.8800,2.8800
"sh090","Rocket Raccoon - Dark Red Outfit, Dark Bluish Gray Head","Super Heroes / Guardians of the Galaxy",1,0,"",19.9200,17.2500
"sh111","Batman - Light Bluish Gray Suit with Yellow Belt and Crest, Blue Mask and Cape","Super Heroes / Batman II",1,1,"",11.1600,5.7100
"sh112","Robin - Very Short Cape","Super Heroes / Batman II",1,1,"",17.1900,6.2000
"sh115","Spider-Man - Black Web Pattern, Red Hips","Super Heroes / Ultimate Spider-Man",1,1,"",5.3800,1.8400
"sh116","Storm","Super Heroes / X-Men",1,0,"",31.7500,22.5500
"sh117","Cyclops","Super Heroes / X-Men",1,0,"",18.7300,12.8300
"sh118","Wolverine - Mask, Dark Brown Hands","Super Heroes / X-Men",1,0,"",24.9500,18.4400
"sh119","Magneto - Dark Purple Outfit","Super Heroes / X-Men",1,0,"",11.7500,7.7100
"sh120","The Sakaaran","Super Heroes / Guardians of the Galaxy",2,0,"",4.3000,2.5500
"sh121","Nebula - Blue Head","Super Heroes / Guardians of the Galaxy",1,0,"",22.0200,12.0900
"sh122","Rocket Raccoon - Orange and Reddish Brown Outfit, Dark Bluish Gray Head","Super Heroes / Guardians of the Galaxy",1,0,"",11.0600,7.3000
"sh123","Star-Lord - Mask, Jacket with Side Buttons","Super Heroes / Guardians of the Galaxy",1,0,"",26.8100,22.9700
"sh124","Gamora, Dark Red Suit","Super Heroes / Guardians of the Galaxy",1,0,"",17.4200,13.1600
"sh125","Drax - Dark Red Legs","Super Heroes / Guardians of the Galaxy",1,0,"",43.0800,36.4400
"sh126","Ronan The Accuser","Super Heroes / Guardians of the Galaxy",1,0,"",74.1500,44.9500
"sh128","Nova Corps Officer","Super Heroes / Guardians of the Galaxy",0,3,"",6.4100,3.7400
"sh132","Batman - Black Suit with Copper Belt (Type 2 Cowl)","Super Heroes / The Dark Knight Trilogy",1,0,"",45.6400,40.1000
"sh133","The Joker - Green Vest","Super Heroes / The Dark Knight Trilogy",1,0,"",84.2500,76.5300
